run	training_set	combo_name	m	precision	recall	f1	max_recall
8	200	str-type	30	0.848	0.884	0.866	0.926
8	200	str-type-lcd	30	0.866	0.884	0.875	0.926
8	240	basic	30	0.786	0.811	0.798	0.926
8	240	basic-type	30	0.859	0.895	0.876	0.926
8	240	str-type	30	0.857	0.884	0.870	0.926
8	240	str-type-lcd	30	0.848	0.884	0.866	0.926
8	280	basic	30	0.778	0.811	0.794	0.926
8	280	basic-type	30	0.866	0.884	0.875	0.926
8	280	str-type	30	0.857	0.884	0.870	0.926
8	280	str-type-lcd	30	0.857	0.884	0.870	0.926
8	320	basic	30	0.778	0.811	0.794	0.926
8	320	basic-type	30	0.892	0.874	0.883	0.926
8	320	str-type	30	0.876	0.895	0.885	0.926
8	320	str-type-lcd	30	0.922	0.874	0.897	0.926
9	40	basic	30	0.664	0.789	0.721	0.926
9	40	basic-type	30	0.708	0.895	0.791	0.926
9	40	str-type	30	0.720	0.895	0.798	0.926
9	40	str-type-lcd	30	0.764	0.884	0.820	0.926
9	80	basic	30	0.743	0.821	0.780	0.926
9	80	basic-type	30	0.766	0.863	0.812	0.926
9	80	str-type	30	0.746	0.895	0.813	0.926
9	80	str-type-lcd	30	0.780	0.895	0.833	0.926
9	120	basic	30	0.785	0.768	0.777	0.926
9	120	basic-type	30	0.804	0.863	0.832	0.926
9	120	str-type	30	0.800	0.884	0.840	0.926
9	120	str-type-lcd	30	0.832	0.884	0.857	0.926
9	160	basic	30	0.763	0.747	0.755	0.926
9	160	basic-type	30	0.883	0.874	0.878	0.926
9	160	str-type	30	0.835	0.853	0.844	0.926
9	160	str-type-lcd	30	0.844	0.853	0.848	0.926
9	200	basic	30	0.758	0.789	0.773	0.926
9	200	basic-type	30	0.903	0.884	0.894	0.926
9	200	str-type	30	0.856	0.874	0.865	0.926
9	200	str-type-lcd	30	0.880	0.853	0.866	0.926
9	240	basic	30	0.762	0.811	0.786	0.926
9	240	basic-type	30	0.866	0.884	0.875	0.926
9	240	str-type	30	0.854	0.863	0.859	0.926
9	240	str-type-lcd	30	0.856	0.874	0.865	0.926
9	280	basic	30	0.770	0.811	0.790	0.926
9	280	basic-type	30	0.875	0.884	0.880	0.926
9	280	str-type	30	0.894	0.884	0.889	0.926
9	280	str-type-lcd	30	0.885	0.895	0.890	0.926
9	320	basic	30	0.786	0.811	0.798	0.926
9	320	basic-type	30	0.883	0.874	0.878	0.926
9	320	str-type	30	0.874	0.874	0.874	0.926
9	320	str-type-lcd	30	0.922	0.874	0.897	0.926
10	40	basic	30	0.821	0.726	0.771	0.926
10	40	basic-type	30	0.921	0.863	0.891	0.926
10	40	str-type	30	0.840	0.884	0.862	0.926
10	40	str-type-lcd	30	0.851	0.842	0.847	0.926
10	80	basic	30	0.818	0.758	0.787	0.926
10	80	basic-type	30	0.923	0.884	0.903	0.926
10	80	str-type	30	0.854	0.863	0.859	0.926
10	80	str-type-lcd	30	0.909	0.842	0.874	0.926
10	120	basic	30	0.814	0.737	0.773	0.926
10	120	basic-type	30	0.933	0.874	0.902	0.926
10	120	str-type	30	0.856	0.874	0.865	0.926
10	120	str-type-lcd	30	0.902	0.874	0.888	0.926
10	160	basic	30	0.826	0.747	0.785	0.926
10	160	basic-type	30	0.923	0.884	0.903	0.926
10	160	str-type	30	0.866	0.884	0.875	0.926
10	160	str-type-lcd	30	0.912	0.874	0.892	0.926
10	200	basic	30	0.815	0.789	0.802	0.926
10	200	basic-type	30	0.922	0.874	0.897	0.926
10	200	str-type	30	0.874	0.874	0.874	0.926
10	200	str-type-lcd	30	0.883	0.874	0.878	0.926
